date;total-ita-sim;total-foreign-sim;prefix;country;num
2019-01-01;64.0;76;0041;Svizzera;25
2019-01-01;64.0;76;007;Federazione Russa;17
2019-01-01;64.0;76;0049;Germania;15
2019-01-01;64.0;76;0033;Francia;8
2019-01-01;64.0;76;001;USA / Canada;3
2019-01-01;64.0;76;00355;Albania;1
2019-01-01;64.0;76;0044;Gran Bretagna;1
2019-01-01;64.0;76;0091;India;1
2019-01-01;64.0;76;0030;Grecia;1
2019-01-01;64.0;76;0031;Paesi Bassi (Olanda);1
2019-01-01;64.0;76;0034;Spagna;1
2019-01-01;64.0;76;00358;Finlandia;1
2019-01-01;64.0;76;0043;Austria;1
2019-01-02;69.0;104;0041;Svizzera;31
2019-01-02;69.0;104;0049;Germania;24
2019-01-02;69.0;104;007;Federazione Russa;23
2019-01-02;69.0;104;0044;Gran Bretagna;5
2019-01-02;69.0;104;0091;India;4
2019-01-02;69.0;104;0033;Francia;3
2019-01-02;69.0;104;0031;Paesi Bassi (Olanda);3
2019-01-02;69.0;104;00972;Israele;2
2019-01-02;69.0;104;00356;Malta;2
2019-01-02;69.0;104;001;USA / Canada;2
2019-01-02;69.0;104;0034;Spagna;1
2019-01-02;69.0;104;0043;Austria;1
2019-01-02;69.0;104;0081;Giappone;1
2019-01-02;69.0;104;0020;Egitto;1
2019-01-02;69.0;104;00216;Tunisia;1
2019-01-03;100.0;107;0041;Svizzera;27
2019-01-03;100.0;107;007;Federazione Russa;24
2019-01-03;100.0;107;0049;Germania;12
2019-01-03;100.0;107;0033;Francia;7
2019-01-03;100.0;107;0034;Spagna;7
2019-01-03;100.0;107;0044;Gran Bretagna;7
2019-01-03;100.0;107;001;USA / Canada;6
2019-01-03;100.0;107;0020;Egitto;4
2019-01-03;100.0;107;0043;Austria;3
2019-01-03;100.0;107;00351;Portogallo;2
2019-01-03;100.0;107;0091;India;2
2019-01-03;100.0;107;00355;Albania;2
2019-01-03;100.0;107;0032;Belgio;1
2019-01-03;100.0;107;00216;Tunisia;1
2019-01-03;100.0;107;0031;Paesi Bassi (Olanda);1
2019-01-03;100.0;107;0036;Ungheria;1
2019-01-04;83.0;101;0041;Svizzera;35
2019-01-04;83.0;101;007;Federazione Russa;31
2019-01-04;83.0;101;0049;Germania;8
2019-01-04;83.0;101;0044;Gran Bretagna;5
2019-01-04;83.0;101;0034;Spagna;4
2019-01-04;83.0;101;0033;Francia;3
2019-01-04;83.0;101;00356;Malta;2
2019-01-04;83.0;101;0091;India;2
2019-01-04;83.0;101;00216;Tunisia;2
2019-01-04;83.0;101;0031;Paesi Bassi (Olanda);2
2019-01-04;83.0;101;00355;Albania;2
2019-01-04;83.0;101;00358;Finlandia;1
2019-01-04;83.0;101;00351;Portogallo;1
2019-01-04;83.0;101;00974;Qatar;1
2019-01-04;83.0;101;001;USA / Canada;1
2019-01-04;83.0;101;0046;Svezia;1
2019-01-05;79.0;89;0041;Svizzera;27
2019-01-05;79.0;89;007;Federazione Russa;14
2019-01-05;79.0;89;0033;Francia;12
2019-01-05;79.0;89;0049;Germania;10
2019-01-05;79.0;89;0044;Gran Bretagna;10
2019-01-05;79.0;89;0034;Spagna;4
2019-01-05;79.0;89;0081;Giappone;3
2019-01-05;79.0;89;00355;Albania;2
2019-01-05;79.0;89;001;USA / Canada;2
2019-01-05;79.0;89;0030;Grecia;1
2019-01-05;79.0;89;00358;Finlandia;1
2019-01-05;79.0;89;00352;Lussemburgo;1
2019-01-05;79.0;89;00351;Portogallo;1
2019-01-05;79.0;89;0091;India;1
2019-01-06;77.0;63;007;Federazione Russa;21
2019-01-06;77.0;63;0041;Svizzera;14
2019-01-06;77.0;63;0049;Germania;7
2019-01-06;77.0;63;0033;Francia;5
2019-01-06;77.0;63;001;USA / Canada;4
2019-01-06;77.0;63;0044;Gran Bretagna;3
2019-01-06;77.0;63;0091;India;2
2019-01-06;77.0;63;00974;Qatar;1
2019-01-06;77.0;63;0030;Grecia;1
2019-01-06;77.0;63;0034;Spagna;1
