"Date","total.foreign.sim"
"2018-04-19",129
"2018-04-20",167
"2018-04-21",187
"2018-04-22",165
"2018-04-23",122
"2018-04-24",54
"2018-04-25",76
"2018-04-26",111
"2018-04-27",121
"2018-04-28",233
"2018-04-29",185
"2018-04-30",162
"2018-05-01",84
"2018-05-02",42
"2018-05-03",106
"2018-05-04",105
"2018-05-05",180
"2018-05-06",133
"2018-05-07",122
"2018-05-08",115
"2018-05-09",124
"2018-05-10",240
"2018-05-11",235
"2018-05-12",248
"2018-05-13",173
"2018-05-14",106
"2018-05-15",102
"2018-05-16",64
"2018-05-17",80
"2018-05-18",135
"2018-05-19",233
"2018-05-20",222
"2018-05-21",187
"2018-05-22",110
"2018-05-23",130
"2018-05-24",124
"2018-05-25",136
"2018-05-26",191
"2018-05-27",133
"2018-05-28",84
"2018-05-29",105
"2018-05-30",103
"2018-05-31",154
"2018-06-01",146
"2018-06-02",193
"2018-06-03",112
"2018-06-04",94
"2018-06-05",99
"2018-06-07",90
"2018-06-08",115
"2018-06-09",208
"2018-06-10",146
"2018-06-11",120
"2018-06-12",68
"2018-06-13",100
"2018-06-14",135
"2018-06-15",128
"2018-06-16",183
"2018-06-17",130
"2018-06-18",116
"2018-06-19",107
"2018-06-20",86
"2018-06-21",33
"2018-06-22",115
"2018-06-23",172
"2018-06-24",141
"2018-06-25",113
"2018-06-26",115
"2018-06-27",90
"2018-06-28",98
"2018-06-29",91
"2018-06-30",114
"2018-07-01",91
"2018-07-02",73
"2018-07-03",82
"2018-07-04",114
"2018-07-05",139
"2018-07-06",143
"2018-07-07",190
"2018-07-08",156
"2018-07-09",124
"2018-07-10",64
"2018-07-11",89
"2018-07-12",151
"2018-07-13",121
"2018-07-14",155
"2018-07-15",156
"2018-07-16",160
"2018-07-17",157
"2018-07-18",132
"2018-07-19",144
"2018-07-20",129
"2018-07-21",196
"2018-07-22",165
"2018-07-23",146
"2018-07-24",144
"2018-07-25",151
"2018-07-26",136
"2018-07-27",186
"2018-07-28",196
"2018-07-29",149
"2018-07-30",136
"2018-07-31",94
"2018-08-01",119
"2018-08-02",125
"2018-08-03",133
"2018-08-04",154
"2018-08-05",119
"2018-08-06",132
"2018-08-07",119
"2018-08-08",96
"2018-08-09",138
"2018-08-10",156
"2018-08-11",178
"2018-08-12",163
"2018-08-13",141
"2018-08-14",158
"2018-08-15",146
"2018-08-16",140
"2018-08-17",154
"2018-08-18",159
"2018-08-19",132
"2018-08-20",107
"2018-08-21",107
"2018-08-22",107
"2018-08-23",101
"2018-08-24",132
"2018-08-25",96
"2018-08-26",123
"2018-08-27",130
"2018-08-28",126
"2018-08-29",132
"2018-08-30",135
"2018-08-31",147
"2018-09-01",156
"2018-09-02",125
"2018-09-03",124
"2018-09-04",115
"2018-09-05",124
"2018-09-06",115
"2018-09-07",147
"2018-09-08",157
"2018-09-09",131
"2018-09-10",128
"2018-09-11",97
"2018-09-12",111
"2018-09-13",151
"2018-09-14",144
"2018-09-15",197
"2018-09-16",150
"2018-09-17",97
"2018-09-18",60
"2018-09-19",59
"2018-09-20",90
"2018-09-21",114
"2018-09-22",133
"2018-09-23",97
"2018-09-24",87
"2018-09-25",66
"2018-09-26",108
"2018-09-27",120
"2018-09-28",123
"2018-09-29",184
"2018-09-30",128
"2018-10-01",40
"2018-10-02",80
"2018-10-03",91
"2018-10-04",106
"2018-10-05",120
"2018-10-06",168
"2018-10-07",131
"2018-10-08",67
"2018-10-09",71
"2018-10-10",88
"2018-10-11",60
"2018-10-12",156
"2018-10-13",179
"2018-10-14",133
"2018-10-15",101
"2018-10-16",107
"2018-10-17",111
"2018-10-18",129
"2018-10-19",134
"2018-10-20",189
"2018-10-21",121
"2018-10-22",120
"2018-10-23",86
"2018-10-24",102
"2018-10-25",90
"2018-10-26",105
"2018-10-27",81
"2018-10-28",74
"2018-10-29",42
"2018-10-30",87
"2018-10-31",64
"2018-11-01",128
"2018-11-02",122
"2018-11-03",157
"2018-11-04",92
"2018-11-05",72
"2018-11-06",83
"2018-11-07",80
"2018-11-08",59
"2018-11-09",81
"2018-11-10",120
"2018-11-11",74
"2018-11-12",49
"2018-11-13",50
"2018-11-14",61
"2018-11-15",63
"2018-11-16",52
"2018-11-17",101
"2018-11-18",52
"2018-11-19",26
"2018-11-20",20
"2018-11-21",34
"2018-11-22",61
"2018-11-23",49
"2018-11-24",111
"2018-11-25",82
"2018-11-26",51
"2018-11-27",44
"2018-11-28",41
"2018-11-29",35
"2018-11-30",52
"2018-12-01",79
"2018-12-02",33
"2018-12-03",25
"2018-12-04",28
"2018-12-05",18
"2018-12-06",25
"2018-12-07",42
