date;total-ita-sim;total-foreign-sim;prefix;country;num
2018-01-01;106;100;0041;Svizzera;33
2018-01-01;106;100;0049;Germania;22
2018-01-01;106;100;007;Federazione Russa;14
2018-01-01;106;100;001;USA / Canada;8
2018-01-01;106;100;0033;Francia;8
2018-01-01;106;100;0034;Spagna;4
2018-01-01;106;100;0044;Gran Bretagna;2
2018-01-01;106;100;0091;India;2
2018-01-01;106;100;00351;Portogallo;2
2018-01-01;106;100;00385;Croazia;1
2018-01-01;106;100;00216;Tunisia;1
2018-01-01;106;100;00972;Israele;1
2018-01-01;106;100;00356;Malta;1
2018-01-01;106;100;00372;Estonia;1
2018-01-02;189;179;007;Federazione Russa;40
2018-01-02;189;179;0049;Germania;40
2018-01-02;189;179;0041;Svizzera;25
2018-01-02;189;179;0033;Francia;19
2018-01-02;189;179;0044;Gran Bretagna;9
2018-01-02;189;179;0034;Spagna;9
2018-01-02;189;179;001;USA / Canada;8
2018-01-02;189;179;00351;Portogallo;5
2018-01-02;189;179;0031;Paesi Bassi (Olanda);5
2018-01-02;189;179;00385;Croazia;3
2018-01-02;189;179;0043;Austria;3
2018-01-02;189;179;00356;Malta;3
2018-01-02;189;179;00421;Slovacchia;2
2018-01-02;189;179;0091;India;2
2018-01-02;189;179;00355;Albania;2
2018-01-02;189;179;00352;Lussemburgo;1
2018-01-02;189;179;0036;Ungheria;1
2018-01-02;189;179;0046;Svezia;1
2018-01-02;189;179;00372;Estonia;1
2018-01-03;132;105;007;Federazione Russa;28
2018-01-03;132;105;0033;Francia;19
2018-01-03;132;105;0041;Svizzera;17
2018-01-03;132;105;0049;Germania;12
2018-01-03;132;105;001;USA / Canada;9
2018-01-03;132;105;0044;Gran Bretagna;5
2018-01-03;132;105;0090;Turchia;4
2018-01-03;132;105;0031;Paesi Bassi (Olanda);3
2018-01-03;132;105;00356;Malta;2
2018-01-03;132;105;0034;Spagna;2
2018-01-03;132;105;0047;Norvegia;1
2018-01-03;132;105;00421;Slovacchia;1
2018-01-03;132;105;0043;Austria;1
2018-01-03;132;105;00216;Tunisia;1
2018-01-04;191;98;007;Federazione Russa;24
2018-01-04;191;98;0041;Svizzera;23
2018-01-04;191;98;0044;Gran Bretagna;8
2018-01-04;191;98;0049;Germania;7
2018-01-04;191;98;0033;Francia;6
2018-01-04;191;98;0034;Spagna;6
2018-01-04;191;98;00351;Portogallo;5
2018-01-04;191;98;001;USA / Canada;5
2018-01-04;191;98;0031;Paesi Bassi (Olanda);3
2018-01-04;191;98;0061;Australia;3
2018-01-04;191;98;00216;Tunisia;3
2018-01-04;191;98;0090;Turchia;1
2018-01-04;191;98;00972;Israele;1
2018-01-04;191;98;0091;India;1
2018-01-04;191;98;00385;Croazia;1
2018-01-04;191;98;0043;Austria;1
2018-01-05;149;87;0041;Svizzera;32
2018-01-05;149;87;007;Federazione Russa;19
2018-01-05;149;87;0033;Francia;9
2018-01-05;149;87;0049;Germania;7
2018-01-05;149;87;0034;Spagna;5
2018-01-05;149;87;0044;Gran Bretagna;4
2018-01-05;149;87;0031;Paesi Bassi (Olanda);3
2018-01-05;149;87;001;USA / Canada;2
2018-01-05;149;87;00351;Portogallo;2
2018-01-05;149;87;0091;India;1
2018-01-05;149;87;00356;Malta;1
2018-01-05;149;87;00385;Croazia;1
2018-01-05;149;87;00355;Albania;1
2018-01-06;108;55;007;Federazione Russa;14
2018-01-06;108;55;0041;Svizzera;11
2018-01-06;108;55;0033;Francia;7
2018-01-06;108;55;0049;Germania;6
2018-01-06;108;55;0044;Gran Bretagna;4
2018-01-06;108;55;0061;Australia;4
2018-01-06;108;55;001;USA / Canada;3
2018-01-06;108;55;0031;Paesi Bassi (Olanda);2
2018-01-06;108;55;0034;Spagna;2
2018-01-06;108;55;0091;India;1
2018-01-06;108;55;00372;Estonia;1
2018-01-07;158;56;007;Federazione Russa;13
2018-01-07;158;56;0033;Francia;11
2018-01-07;158;56;0041;Svizzera;11
2018-01-07;158;56;001;USA / Canada;8
2018-01-07;158;56;0044;Gran Bretagna;4
2018-01-07;158;56;0034;Spagna;4
2018-01-07;158;56;0049;Germania;2
2018-01-07;158;56;0061;Australia;2
2018-01-07;158;56;0031;Paesi Bassi (Olanda);1
2018-01-08;162;50;007;Federazione Russa;12
2018-01-08;162;50;0049;Germania;8
2018-01-08;162;50;001;USA / Canada;7
2018-01-08;162;50;0033;Francia;6
2018-01-08;162;50;0041;Svizzera;6
2018-01-08;162;50;0061;Australia;3
2018-01-08;162;50;0034;Spagna;3
2018-01-08;162;50;00385;Croazia;2
2018-01-08;162;50;0031;Paesi Bassi (Olanda);1
2018-01-08;162;50;00354;Islanda;1
2018-01-08;162;50;0092;Pakistan;1
2018-01-09;150;31;007;Federazione Russa;13
2018-01-09;150;31;0033;Francia;5
2018-01-09;150;31;0044;Gran Bretagna;3
2018-01-09;150;31;001;USA / Canada;3
2018-01-09;150;31;00972;Israele;2
2018-01-09;150;31;0090;Turchia;1
2018-01-09;150;31;0031;Paesi Bassi (Olanda);1
2018-01-09;150;31;00351;Portogallo;1
2018-01-09;150;31;0049;Germania;1
2018-01-09;150;31;0041;Svizzera;1
2018-01-10;186;49;007;Federazione Russa;10
2018-01-10;186;49;0041;Svizzera;8
2018-01-10;186;49;001;USA / Canada;7
2018-01-10;186;49;0033;Francia;5
2018-01-10;186;49;0031;Paesi Bassi (Olanda);4
2018-01-10;186;49;0049;Germania;4
2018-01-10;186;49;0036;Ungheria;3
2018-01-10;186;49;0044;Gran Bretagna;3
2018-01-10;186;49;0034;Spagna;2
2018-01-10;186;49;0061;Australia;1
2018-01-10;186;49;0043;Austria;1
2018-01-10;186;49;0090;Turchia;1
2018-01-11;186;36;007;Federazione Russa;7
2018-01-11;186;36;0033;Francia;5
2018-01-11;186;36;0041;Svizzera;4
2018-01-11;186;36;0049;Germania;4
2018-01-11;186;36;0044;Gran Bretagna;3
2018-01-11;186;36;001;USA / Canada;3
2018-01-11;186;36;0034;Spagna;3
2018-01-11;186;36;00351;Portogallo;2
2018-01-11;186;36;00972;Israele;2
2018-01-11;186;36;0090;Turchia;1
2018-01-11;186;36;00355;Albania;1
2018-01-11;186;36;0061;Australia;1
2018-01-12;183;62;0041;Svizzera;12
2018-01-12;183;62;007;Federazione Russa;9
2018-01-12;183;62;0033;Francia;8
2018-01-12;183;62;0044;Gran Bretagna;8
2018-01-12;183;62;0034;Spagna;4
2018-01-12;183;62;0049;Germania;4
2018-01-12;183;62;0090;Turchia;4
2018-01-12;183;62;0091;India;3
2018-01-12;183;62;0036;Ungheria;3
2018-01-12;183;62;00355;Albania;1
2018-01-12;183;62;0061;Australia;1
2018-01-12;183;62;00421;Slovacchia;1
2018-01-12;183;62;00351;Portogallo;1
2018-01-12;183;62;001;USA / Canada;1
2018-01-12;183;62;00972;Israele;1
2018-01-12;183;62;0045;Danimarca;1
2018-01-13;209;88;0041;Svizzera;27
2018-01-13;209;88;0049;Germania;12
2018-01-13;209;88;0033;Francia;10
2018-01-13;209;88;0034;Spagna;8
2018-01-13;209;88;007;Federazione Russa;8
2018-01-13;209;88;001;USA / Canada;6
2018-01-13;209;88;0044;Gran Bretagna;4
2018-01-13;209;88;0090;Turchia;3
2018-01-13;209;88;0031;Paesi Bassi (Olanda);3
2018-01-13;209;88;00351;Portogallo;3
2018-01-13;209;88;00355;Albania;2
2018-01-13;209;88;00972;Israele;1
2018-01-13;209;88;00352;Lussemburgo;1
2018-01-14;171;47;0049;Germania;7
2018-01-14;171;47;007;Federazione Russa;7
2018-01-14;171;47;0044;Gran Bretagna;7
2018-01-14;171;47;00355;Albania;6
2018-01-14;171;47;0041;Svizzera;6
2018-01-14;171;47;0033;Francia;3
2018-01-14;171;47;0034;Spagna;2
2018-01-14;171;47;0036;Ungheria;2
2018-01-14;171;47;00421;Slovacchia;2
2018-01-14;171;47;00385;Croazia;1
2018-01-14;171;47;0043;Austria;1
2018-01-14;171;47;00351;Portogallo;1
2018-01-14;171;47;0090;Turchia;1
2018-01-14;171;47;0091;India;1
2018-01-15;146;34;007;Federazione Russa;8
2018-01-15;146;34;0049;Germania;6
2018-01-15;146;34;0034;Spagna;4
2018-01-15;146;34;001;USA / Canada;3
2018-01-15;146;34;0033;Francia;3
2018-01-15;146;34;0090;Turchia;2
2018-01-15;146;34;0030;Grecia;2
2018-01-15;146;34;0031;Paesi Bassi (Olanda);1
2018-01-15;146;34;00355;Albania;1
2018-01-15;146;34;0041;Svizzera;1
2018-01-15;146;34;0044;Gran Bretagna;1
